TimeStamp,stage1_to_stage2_true_expected_lag,stage1_to_stage2_true_argmax_lag,stage1_to_stage2_true_pi_lag0,stage1_to_stage2_true_pi_lag1,stage1_to_stage2_true_pi_lag2,stage1_to_stage2_true_pi_lag3,stage1_to_stage2_true_pi_lag4,stage1_to_stage2_true_pi_lag5,stage1_to_stage2_true_pi_lag6,stage1_to_stage2_true_pi_lag7,stage1_to_stage2_true_pi_lag8,stage1_to_stage2_true_pi_lag9,stage1_to_stage2_true_pi_lag10,stage1_to_stage2_true_pi_lag11,stage1_to_stage2_true_pi_lag12,stage1_to_stage2_true_pi_lag13,stage1_to_stage2_true_pi_lag14,stage1_to_stage2_true_pi_lag15,stage1_to_stage2_true_pi_lag16,stage1_to_stage2_true_pi_lag17,stage1_to_stage2_true_pi_lag18,stage1_to_stage2_true_pi_lag19,stage1_to_stage2_true_pi_lag20,stage1_to_stage2_true_pi_lag21,stage1_to_stage2_true_pi_lag22,stage1_to_stage2_true_pi_lag23
2021-04-30 0:15,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 0:30,6.02804952571152,6,0,0,0,0,0,0,0.971950474288482,0.0280495257115181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 0:45,6.05609659929271,6,0,0,0,0,0,0,0.943903400707293,0.0560965992927072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 1:00,6.08413876882761,6,0,0,0,0,0,0,0.915861231172393,0.0841387688276072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 1:15,6.11217358282898,6,0,0,0,0,0,0,0.887826417171024,0.112173582828976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 1:30,6.14019859045261,6,0,0,0,0,0,0,0.859801409547393,0.140198590452607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 1:45,6.16821134171158,6,0,0,0,0,0,0,0.831788658288424,0.168211341711576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 2:00,6.19620938769043,6,0,0,0,0,0,0,0.803790612309571,0.196209387690429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 2:15,6.22419028075927,6,0,0,0,0,0,0,0.775809719240727,0.224190280759273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 2:30,6.25215157478774,6,0,0,0,0,0,0,0.747848425212258,0.252151574787742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 2:45,6.28009082535885,6,0,0,0,0,0,0,0.719909174641148,0.280090825358852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 3:00,6.30800558998269,6,0,0,0,0,0,0,0.691994410017315,0.308005589982685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 3:15,6.33589342830992,6,0,0,0,0,0,0,0.664106571690076,0.335893428309924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 3:30,6.36375190234518,6,0,0,0,0,0,0,0.636248097654815,0.363751902345185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 3:45,6.39157857666016,6,0,0,0,0,0,0,0.608421423339845,0.391578576660155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 4:00,6.4193710186065,6,0,0,0,0,0,0,0.580628981393501,0.419371018606499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 4:15,6.44712679852852,6,0,0,0,0,0,0,0.552873201471477,0.447126798528523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 4:30,6.47484348997558,6,0,0,0,0,0,0,0.525156510024416,0.474843489975584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 4:45,6.50251866991421,7,0,0,0,0,0,0,0.49748133008579,0.50251866991421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 5:00,6.53014991893992,7,0,0,0,0,0,0,0.469850081060081,0.530149918939919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
