seed,dmax,n_samples,block_in_expected_lag_mae_aligned,block_in_expected_lag_mae_noalign,localization_auprc_aligned,localization_auprc_noalign,localization_best_f1_aligned,localization_best_f1_noalign,block_out_false_alarm_rate_aligned,block_out_false_alarm_rate_noalign,block_in_expected_lag_mae_diff,localization_auprc_diff,localization_best_f1_diff,block_out_false_alarm_rate_diff
seed_42,2,1213,0.8339263056249999,1.5,0.009845641085615753,0.0,0.029684601113114936,0.026037428803879915,0.4302422723475355,1.0,0.6660736943750001,-0.009845641085615753,-0.00364717230923502,0.5697577276524646
seed_134,2,1213,0.650004065625,1.5,0.00959844603433654,0.0,0.028761061946867884,0.026037428803879915,0.7309941520467836,1.0,0.849995934375,-0.00959844603433654,-0.0027236331429879683,0.26900584795321636
seed_321,2,1213,2.36012829375,1.5,0.009855244665770282,0.0,0.027777777777723767,0.026037428803879915,0.46115288220551376,1.0,-0.8601282937499999,-0.009855244665770282,-0.001740348973843852,0.5388471177944862
seed_456,2,1213,1.3875825588125,1.5,0.008320021947173727,0.0,0.02625102543065498,0.026037428803879915,0.9916457811194653,1.0,0.11241744118750008,-0.008320021947173727,-0.0002135966267750658,0.00835421888053467
seed_712,2,1213,1.92257505,1.5,0.014673069318607106,0.0,0.042372881355866705,0.026037428803879915,0.37259816207184626,1.0,-0.42257505000000006,-0.014673069318607106,-0.01633545255198679,0.6274018379281537
seed_42,4,824,1.583557179375,2.5,0.023048117831540912,0.0,0.06650831353911928,0.03809523809520072,0.4839108910891089,1.0,0.9164428206249999,-0.023048117831540912,-0.028413075443918558,0.5160891089108911
seed_134,4,824,1.36643467625,2.5,0.18026951182298726,0.0,0.48275862068916053,0.03809523809520072,0.007425742574257425,1.0,1.13356532375,-0.18026951182298726,-0.4446633825939598,0.9925742574257426
seed_321,4,824,1.1407620875,2.5,0.06939686732940713,0.0,0.2352941176466282,0.03809523809520072,0.03589108910891089,1.0,1.3592379125,-0.06939686732940713,-0.19719887955142748,0.9641089108910891
seed_456,4,824,2.2618630463125,2.5,0.21358645540682442,0.0,0.43478260869522867,0.03809523809520072,0.0024752475247524753,1.0,0.23813695368749999,-0.21358645540682442,-0.39668737060002796,0.9975247524752475
seed_712,4,824,1.46801208125,2.5,0.017603412816492806,0.0,0.048865619546193534,0.03809523809520072,0.6720297029702971,1.0,1.03198791875,-0.017603412816492806,-0.010770381450992815,0.32797029702970293
seed_42,6,518,2.9001325493750003,4.0,0.042292794154069356,0.0,0.1240310077517207,0.059925093632900675,0.20916334661354583,1.0,1.0998674506249997,-0.042292794154069356,-0.06410591411882002,0.7908366533864541
seed_134,6,518,2.955039100625,4.0,0.025824049905965714,0.0,0.08695652173897163,0.059925093632900675,0.3187250996015936,1.0,1.044960899375,-0.025824049905965714,-0.027031428106070954,0.6812749003984064
seed_321,6,518,1.51155785,4.0,0.060975893922507435,0.0,0.19672131147502286,0.059925093632900675,0.07768924302788845,1.0,2.48844215,-0.060975893922507435,-0.1367962178421222,0.9223107569721115
seed_456,6,518,3.6533555821875003,4.0,0.03362071607559455,0.0,0.09937888198739864,0.059925093632900675,0.2729083665338645,1.0,0.34664441781249966,-0.03362071607559455,-0.03945378835449796,0.7270916334661355
seed_712,6,518,1.52977959375,4.0,0.05437291140028626,0.0,0.13559322033874865,0.059925093632900675,0.18725099601593626,1.0,2.47022040625,-0.05437291140028626,-0.07566812670584798,0.8127490039840637
